,tags
55,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
56,"{'brand:wikidata': 'Q319642', 'brand:wikipedia': 'en:Chevron Corporation', 'fuel:octane_89': 'yes', 'addr:postcode': 'V2Y 2K2', 'fuel:diesel': 'yes', 'fuel:octane_87': 'yes', 'addr:housenumber': '23182', 'fuel:octane_94': 'yes', 'fuel:octane_91': 'yes', 'covered': 'yes', 'opening_hours': '24/7', 'self_service': 'yes', 'addr:street': '72 Avenue', 'brand': 'Chevron'}"
58,"{'addr:housenumber': '8100', 'phone': '+1-604-370-3738', 'opening_hours': 'Su-Th 11:00-22:30; Fr-Sa 11:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond', 'name:zh': '雲尚過橋米線'}"
61,"{'website': 'https://www.stationroaddentalcentre.com/', 'facebook': 'https://www.facebook.com/Station-Road-Dental-Aldergrove-504325426331181/', 'emergency': 'yes', 'addr:postcode': 'V4W 3P9', 'addr:unit': '101', 'operator': 'John So', 'healthcare': 'dentist', 'addr:city': 'Aldergrove', 'addr:housenumber': '27595', 'phone': '+1-604-857-5400', 'opening_hours': 'Mo-Th 08:30-18:00; Fr 08:30-19:00; Sa 09:00-17:00', 'addr:street': 'Fraser Highway', 'fax': '+1-604-857-5402'}"
62,"{'toilets:wheelchair': 'yes', 'wheelchair': 'yes', 'religion': 'christian'}"
63,"{'brand:wikidata': 'Q319642', 'addr:housenumber': '12011', 'addr:street': 'Bridgeport Road', 'brand': 'Chevron', 'brand:wikipedia': 'en:Chevron Corporation'}"
64,"{'brand:wikidata': 'Q3258955', 'brand': 'London Drugs', 'brand:wikipedia': 'en:London Drugs', 'healthcare': 'pharmacy'}"
65,"{'brand:wikidata': 'Q3472954', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's"", 'brand:wikipedia': ""en:Nando's""}"
66,"{'brand:wikidata': 'Q894578', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'brand:wikipedia': 'en:Boston Pizza', 'addr:unit': '2000'}"
67,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'addr:housenumber': '2095', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}"
68,"{'brand:wikidata': 'Q666694', 'wheelchair': 'yes', 'addr:housenumber': '5045', 'website': 'https://locations.cibc.com/bc/delta/53235', 'brand:wikipedia': 'en:Canadian Imperial Bank of Commerce', 'drive_through': 'no', 'surveillance': 'indoor', 'addr:street': '48 Avenue', 'atm': 'yes', 'brand': 'CIBC'}"
72,"{'opening_hours': 'Mo-Fr 11:30-01:00', 'addr:housenumber': '6371', 'website': 'http://koerners.ca/', 'addr:street': 'Crescent Road', 'phone': '+1-604-827-1443'}"
73,"{'addr:housenumber': '900', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'phone': '+1-604-630-1407', 'addr:street': 'Burrard Street', 'is_in:city': 'Vancouver', 'addr:postcode': 'V6Z 3G5', 'wikidata': 'Q38378292', 'operator': 'Cineplex'}"
74,"{'addr:housenumber': '88', 'alt_name': 'Tinseltown', 'addr:street': 'West Pender Street', 'level': '2', 'addr:city': 'Vancouver'}"
75,"{'public_transport': 'stop_position', 'operator': 'Aquabus & False Creek Ferries', 'ferry': 'yes'}"
76,"{'public_transport': 'stop_position', 'operator': 'Aquabus & False Creek Ferries', 'ferry': 'yes'}"
77,"{'brand:wikidata': 'Q319642', 'addr:housenumber': '7951', 'addr:street': 'No. 3 Road', 'brand': 'Chevron', 'brand:wikipedia': 'en:Chevron Corporation'}"
78,"{'addr:housenumber': '9000', 'addr:street': 'No. 3 Road'}"
83,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'}
84,{'cuisine': 'sub'}
87,{}
88,"{'brand:wikidata': 'Q524757', 'cuisine': 'chicken', 'brand': 'KFC', 'brand:wikipedia': 'en:KFC', 'drive_through': 'no'}"
89,{}
90,"{'brand:wikidata': 'Q38076', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'drive_through': 'yes', 'opening_hours': '24/7', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': ""McDonald's""}"
91,"{'brand:wikidata': 'Q177054', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'Burger King', 'brand:wikipedia': 'en:Burger King'}"
92,"{'opening_hours': 'Tu,We 10:00-21:00; Th-Sa 10:00-18:00; Su 13:00-17:00', 'addr:housenumber': '1950', 'website': 'https://www.vpl.ca/location/fraser-branch', 'addr:street': 'Argyle Drive', 'operator': 'Vancouver Public Library'}"
93,"{'website': 'https://www.shell.ca/', 'shop': 'yes', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}"
94,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '1396', 'brand:wikipedia': 'en:Royal Dutch Shell', 'addr:street': 'East 41st Avenue', 'brand': 'Shell', 'operator': 'Shell'}"
95,{}
96,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}"
97,"{'brand:wikidata': 'Q867662', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}"
98,"{'brand:wikidata': 'Q1208279', 'brand': 'Petro-Canada', 'brand:wikipedia': 'en:Petro-Canada'}"
99,{'created_by': 'Potlatch 0.8a'}
100,"{'addr:housenumber': '1295', 'website': 'https://www.wickedcampers.ca/', 'addr:street': 'West 75th Avenue'}"
108,"{'addr:housenumber': '1830', 'website': 'https://www.facultybrewing.com/', 'shop': 'alcohol', 'phone': '+1-778-819-6794', 'opening_hours': 'Mo-Fr 14:00-23:00; Sa-Su 11:00-23:00', 'outdoor_seating': 'no', 'addr:street': 'Ontario Street', 'addr:postcode': 'V5T 2W6', 'email': 'hola@facultybrewing.com', 'addr:city': 'Vancouver'}"
111,"{'ref': '0077', 'capacity': '28', 'network': 'Mobi'}"
113,"{'ref': '0079', 'capacity': '30', 'network': 'Mobi'}"
114,"{'ref': '0073', 'capacity': '18', 'network': 'Mobi'}"
115,"{'addr:housenumber': '1836', 'addr:street': 'Ontario Street', 'phone': '+1-604-876-3620'}"
117,"{'opening_hours': 'Su-Tu 11:00-23:00; We-Sa 11:00-00:00', 'website': 'https://www.randbbrewing.com/alehouse', 'phone': '+1-604-336-0275'}"
121,"{'opening_hours': 'Su-Th 11:00-21:30; Fr-Sa 11:00-22:00', 'addr:housenumber': '43', 'website': 'http://www.peacefulrestaurant.com', 'addr:street': 'East 5th Avenue', 'phone': '+1-604-559-9511'}"
163,"{'addr:housenumber': '4468', 'addr:street': 'Beresford Street', 'phone': '+1-778-379-8299'}"
177,"{'opening_hours': 'Mo-Fr 06:00-18:00; Sa,Su,PH off', 'website': 'http://www.kidsclubabbotsford.com', 'phone': '+1-604-556-7355'}"
182,{'operator': 'Rotary Abbotsford-Sumas'}
187,"{'addr:housenumber': '612', 'website': 'http://learningexchange.ubc.ca', 'phone': '+1-604-408-5164', 'opening_hours': 'Mo-We 09:00-12:00,13:00-17:00; Th 09:00-12:00,13:00-19:00; Fr 13:00-17:00', 'addr:street': 'Main Street', 'fax': '+1-604-682-6807', 'email': 'learning.exchange@ubc.ca'}"
193,"{'addr:housenumber': '920', 'website': 'https://www.nwpl.ca/', 'phone': '+1-604-636-4450', 'opening_hours': 'Mo-Fr 09:00-19:00; Sa 10:00-17:00; Su 12:00-17:00', 'addr:street': 'Ewen Avenue', 'operator': 'New Westminster Public Library'}"
194,"{'note': 'Instruction in Yoshinkan Aikido by Shihan Robert Mustard (8th Dan)', 'addr:housenumber': '7671', 'website': 'http://aikidoburnaby.com/', 'phone': '+1-604-786-2334', 'opening_hours': 'Mo-Th 19:30-21:00 ""adults""; Sa 10:30-12:00 ""adults""; Tu,We 16:30-17:30 ""kids""', 'addr:street': 'Edmonds Street', 'addr:postcode': 'V3N 1B6', 'sport': 'aikido', 'addr:city': 'Burnaby'}"
236,"{'brand:wikidata': 'Q1032001', 'wheelchair': 'yes', 'addr:housenumber': '14867', 'brand:wikipedia': 'en:Canada Post', 'opening_hours': 'Mo-Fr 09:00-18:00; Sa 09:00-14:00; Su,PH off', 'addr:street': '108 Avenue', 'addr:postcode': 'V3R 1W0', 'brand': 'Canada Post', 'operator': 'Canada Post'}"
237,"{'addr:housenumber': '15184', 'addr:street': 'Highway 10'}"
238,"{'addr:housenumber': '16384', 'name:en': 'West Coast Fuels', 'addr:street': 'Fraser Highway'}"
239,"{'addr:housenumber': '14445', 'addr:street': '64 Avenue'}"
240,"{'brand:wikidata': 'Q867662', 'addr:housenumber': '7195', 'addr:street': 'King George Boulevard', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}"
241,"{'brand:wikidata': 'Q867662', 'addr:housenumber': '15989', 'addr:street': '108 Avenue', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}"
242,"{'addr:housenumber': '6422', 'addr:street': 'Scott Road'}"
243,"{'addr:housenumber': '10815', 'addr:street': '132 Street'}"
244,"{'addr:housenumber': '13916', 'addr:street': 'Grosvenor Road'}"
245,"{'fuel:gasoline': 'yes', 'addr:housenumber': '14935', 'website': 'http://fasgas.ca/', 'phone': '+1-604-588-8646', 'addr:street': '108 Avenue', 'fuel:propane': 'yes'}"
246,"{'addr:housenumber': '12795', 'addr:street': 'King George Boulevard'}"
247,"{'addr:housenumber': '7615', 'addr:street': '128 Street'}"
248,"{'addr:housenumber': '10178', 'addr:street': '128 Street'}"
249,"{'brand:wikidata': 'Q702049', 'addr:housenumber': '15960', 'addr:street': '96 Avenue', 'brand': 'Husky', 'brand:wikipedia': 'en:Husky Energy'}"
250,"{'addr:housenumber': '13598', 'addr:street': '88 Avenue'}"
252,"{'brand:wikidata': 'Q666694', 'addr:housenumber': '10166', 'website': 'http://www.cibc.com/', 'phone': '+1-604-586-2242', 'brand:wikipedia': 'en:Canadian Imperial Bank of Commerce', 'opening_hours': 'Mo-Tu 09:30-17:00; We-Fr 09:30-19:00; Sa 09:00-16:00', 'alt': 'Canadian Imperial Bank of Commerce', 'addr:street': 'King George Boulevard', 'atm': 'yes', 'brand': 'CIBC', 'operator': 'CIBC'}"
253,"{'addr:housenumber': '8901', 'addr:street': 'Cornerstone Mews'}"
254,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
255,"{'brand:wikidata': 'Q666694', 'website': 'https://locations.cibc.com/bc/surrey/08920', 'brand:wikipedia': 'en:Canadian Imperial Bank of Commerce', 'addr:unit': '1294', 'operator': 'CIBC', 'addr:housenumber': '10355', 'alt_name': 'Canadian Imperial Bank of Commerce', 'phone': '+1-604-586-2303', 'opening_hours': 'Mo-We 09:00-18:00; Th-Fr 09:00-19:00; Sa 09:00-16:00; Su 12:00-16:00', 'addr:street': '152 Street', 'atm': 'yes', 'brand': 'CIBC'}"
256,"{'brand:wikidata': 'Q806693', 'wheelchair': 'yes', 'addr:housenumber': '10155', 'brand:wikipedia': 'en:Bank of Montreal', 'addr:street': 'King George Boulevard', 'brand': 'Bank of Montreal', 'operator': 'Bank of Montreal'}"
257,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '5511', 'addr:street': 'Garden City Road', 'brand': 'Shell', 'brand:wikipedia': 'en:Royal Dutch Shell'}"
268,{'opening_hours': 'Mo-Su dawn-dusk'}
269,{'opening_hours': 'sunrise-sunset'}
272,{}
299,"{'addr:housenumber': '1205', 'addr:street': 'Pinetree Way', 'addr:postcode': 'V3B 7Y3', 'addr:city': 'Coquitlam'}"
300,"{'addr:housenumber': '2327', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
301,"{'addr:housenumber': '2341', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
302,"{'addr:housenumber': '2481', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}"
303,"{'addr:housenumber': '305', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}"
304,"{'addr:housenumber': '269', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
305,"{'addr:housenumber': '261', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
306,"{'addr:housenumber': '477', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
307,"{'brand:wikidata': 'Q7914085', 'official_name': 'Vancouver City Savings Credit Union', 'addr:housenumber': '605', 'brand:wikipedia': 'en:Vancity', 'addr:street': 'Main Street', 'brand': 'Vancity', 'addr:city': 'Vancouver'}"
308,"{'addr:housenumber': '185', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}"
309,"{'addr:housenumber': '139', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}"
310,"{'note': 'They have ping pong. Not sure about how to tag that', 'addr:housenumber': '303', 'addr:street': 'Columbia Street', 'addr:city': 'Vancouver'}"
311,"{'addr:housenumber': '26', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}"
312,"{'addr:housenumber': '25', 'addr:street': 'Alexander Street', 'addr:city': 'Vancouver'}"
313,"{'addr:housenumber': '131', 'addr:street': 'Water Street', 'addr:city': 'Vancouver'}"
314,"{'addr:housenumber': '216', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}"
315,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Terminal Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'addr:city': 'Vancouver'}"
319,{'cuisine': 'chinese'}
320,"{'brand:wikidata': 'Q244457', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway', 'brand:wikipedia': 'en:Subway (restaurant)'}"
322,"{'addr:housenumber': '8211', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond'}"
324,{}
325,"{'drive_through': 'yes', 'atm': 'yes'}"
328,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'wheelchair': 'yes', 'addr:housenumber': '2350', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Saint Johns Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
330,"{'addr:housenumber': '1329', 'addr:street': 'Robson Street'}"
331,"{'addr:housenumber': '1260', 'website': 'https://chong-qing-restaurant-online-ordering.securebrygid.com', 'phone': '+1-604-568-0303', 'opening_hours': 'Mo-Su 11:30-22:00', 'cuisine': 'chinese', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C1', 'addr:city': 'Vancouver'}"
332,"{'cuisine': 'greek', 'addr:street': 'Robson Street'}"
333,"{'cuisine': 'indian', 'addr:housenumber': '1282', 'addr:street': 'Robson Street'}"
334,"{'cuisine': 'chinese', 'addr:housenumber': '1339', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}"
335,"{'addr:housenumber': '793', 'addr:street': 'Jervis Street', 'addr:city': 'Vancouver'}"
336,"{'opening_hours': '24/7', 'website': 'https://foragevancouver.com/', 'addr:street': 'Robson Street', 'phone': '+1-604-661-1400'}"
337,"{'opening_hours': 'Mo-Th 12:00-00:00; Fr 12:00-01:00; Sa 11:00-01:00; Su 11:00-00:00', 'cuisine': 'american', 'addr:housenumber': '1300', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}"
338,"{'addr:housenumber': '1335', 'phone': '+1-604-681-0339', 'smoking': 'no', 'opening_hours': 'Mo-Fr 11:30-14:00,17:00-21:30; Sa 17:00-21:30', 'cuisine': 'japanese;sushi', 'outdoor_seating': 'no', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C6', 'addr:city': 'Vancouver'}"
339,"{'brand:wikidata': 'Q2996960', 'addr:housenumber': '1368', 'brand:wikipedia': 'en:Cora (restaurant)', 'cuisine': 'breakfast', 'addr:street': 'Robson Street', 'brand': 'Cora', 'addr:city': 'Vancouver'}"
340,"{'brand:wikidata': 'Q16829306', 'brand:en': 'Chatime', 'addr:housenumber': '1274', 'brand:wikipedia': 'en:Chatime', 'cuisine': 'bubble_tea', 'name:en': 'Chatime', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand:zh': '日出茶太', 'brand': 'Chatime', 'name:zh': '日出茶太'}"
341,"{'cuisine': 'japanese', 'addr:housenumber': '1258', 'addr:street': 'Robson Street'}"
342,"{'addr:housenumber': '1223', 'addr:street': 'Robson Street'}"
343,{'addr:street': 'Robson Street'}
358,"{'addr:housenumber': '670', 'addr:street': 'East Broadway', 'phone': '+1-604-829-7032', 'addr:postcode': 'V5T 1X6', 'addr:city': 'Vancouver'}"
359,"{'ref': '0014', 'capacity': '22', 'network': 'Mobi'}"
361,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/147207837@N04/33444735648/in/dateposted-public/', 'bus': 'yes', 'backrest': 'yes', 'shelter': 'yes', 'notes': 'covered, paved', 'description': 'Bench is at a bus stop so back rest is the glass structure of the stop', 'public_transport': 'platform', 'seats': '3', 'operator': 'Coast Mountain Bus Company', 'network': 'Translink', 'tactile_paving': 'no', 'colour': 'brown, grey', 'ref': '61027', 'material': 'wood,_metal', 'highway': 'bus_stop'}"
368,"{'ref': '0025', 'capacity': '20', 'network': 'Mobi'}"
369,"{'description': 'Community Centre for Adults (50+)', 'addr:housenumber': '1200', 'addr:street': 'Glen Pine Court', 'addr:postcode': 'V3B 2P7', 'addr:city': 'Coquitlam'}"
385,"{'brand:wikidata': 'Q1032001', 'wheelchair': 'no', 'addr:housenumber': '1496', 'brand:wikipedia': 'en:Canada Post', 'addr:street': 'Cartwright Street', 'addr:postcode': 'V6H 3Y0', 'brand': 'Canada Post', 'addr:unit': '105', 'operator': 'Canada Post'}"
387,{'tourism': 'information'}
390,{'url': 'http://www.thebicyclevalet.com'}
391,"{'operator': 'BC Ferries', 'ferry_terminal': 'stop_position', 'network': 'BC Ferries'}"
392,"{'operator': 'BC Ferries', 'network': 'BC Ferries'}"
393,"{'operator': 'BC Ferries', 'network': 'BC Ferries'}"
394,"{'operator': 'BC Ferries', 'ferry': 'yes', 'network': 'BC Ferries'}"
395,{'network': 'BC Ferries'}
405,{'cuisine': 'mexican'}
406,"{'brand:wikidata': 'Q7757289', 'cuisine': 'pita', 'takeaway': 'yes', 'brand': 'Pita Pit', 'brand:wikipedia': 'en:Pita Pit'}"
407,{}
408,"{'addr:housenumber': '20202', 'addr:street': '66 Avenue', 'addr:unit': '2', 'addr:city': 'Langley'}"
414,"{'opening_hours': 'Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00', 'cuisine': 'sandwich', 'website': 'http://subway.ca', 'ref': 'Store #67123', 'phone': '+1-604-776-1122'}"
416,"{'ref': '0015', 'capacity': '20', 'network': 'Mobi'}"
417,"{'cuisine': 'burger', 'addr:housenumber': '23182', 'addr:street': '232 Street'}"
418,{}
421,"{'ref': '0054', 'capacity': '16', 'network': 'Mobi'}"
422,"{'ref': '0053', 'capacity': '28', 'network': 'Mobi'}"
424,{}
426,"{'ref': '0109', 'capacity': '16', 'network': 'Mobi'}"
427,"{'ref': '0081', 'capacity': '18', 'network': 'Mobi'}"
428,"{'ref': '0076', 'capacity': '18', 'network': 'Mobi'}"
429,"{'ref': '0008', 'capacity': '16', 'network': 'Mobi'}"
430,"{'ref': '0010', 'capacity': '12', 'network': 'Mobi'}"
431,"{'ref': '0072', 'capacity': '14', 'network': 'Mobi'}"
434,"{'ref': '0115', 'capacity': '20', 'network': 'Mobi'}"
435,"{'ref': '0080', 'capacity': '14', 'network': 'Mobi'}"
439,{'addr:housenumber': '610'}
440,"{'addr:housenumber': '1338', 'website': 'http://www.callisterbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-569-2739', 'opening_hours': 'Mo-Th 14:00-21:00; Fr 14:00-22:00,09:00-18:00; Sa 13:00-22:00; Su 13:00-20:00', 'outdoor_seating': 'no', 'addr:street': 'Franklin Street', 'addr:postcode': 'V5L 1N9', 'email': 'info@callisterbrewing.com', 'addr:city': 'Vancouver'}"
444,"{'opening_hours': 'Mo-Th 14:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00', 'website': 'https://www.powellbeer.com/', 'shop': 'alcohol', 'email': 'tim@powellbeer.com'}"
448,"{'opening_hours': 'Mo-Su 12:00-23:00', 'website': 'https://strangefellowsbrewing.com/', 'shop': 'alcohol', 'outdoor_seating': 'no', 'phone': '+1-604-215-0092'}"
451,{}
452,"{'ref': '0041', 'capacity': '14', 'network': 'Mobi'}"
453,"{'ref': '0033', 'capacity': '28', 'network': 'Mobi'}"
454,"{'ref': '0096', 'capacity': '18', 'network': 'Mobi'}"
456,"{'addr:province': 'BC', 'opening_hours': 'Mo-Th 11:30-22:00; Fr 11:30-22:30; Sa 12:00-22:30; Su 12:00-22:00', 'addr:housenumber': '1231', 'addr:street': 'Davie Street', 'addr:city': 'Vancouver'}"
460,"{'addr:housenumber': '1220', 'addr:street': 'Bute Street'}"
504,"{'addr:housenumber': '466', 'website': 'http://dublincrossingvancouver.com/', 'phone': '+1-604-428-8577', 'outdoor_seating': 'yes', 'addr:street': 'SW Marine Drive', 'addr:postcode': 'V5X 0C4', 'addr:city': 'Vancouver'}"
517,{'cuisine': 'coffee_shop'}
518,"{'addr:housenumber': '31216', 'addr:street': 'King Road', 'old_name': 'Tippytoes Preschool'}"
561,"{'opening_hours': 'Mo-Fr 07:00-17:30', 'website': 'https://www.academicsprek.com/abbotsford-bc', 'phone': '+1-604-853-2332', 'addr:unit': '107'}"
592,"{'ref': '0024', 'operator': 'Vancouver Bike Share', 'capacity': '22', 'network': 'Mobi'}"
596,{'cuisine': 'pizza'}
607,"{'ref': '0030', 'capacity': '14', 'network': 'Mobi'}"
608,"{'brand:wikidata': 'Q7319360', 'addr:housenumber': '6200', 'brand:wikipedia': 'en:Rexall', 'drive_through': 'no', 'dispensing': 'yes', 'addr:street': 'McKay Avenue', 'brand': 'Rexall', 'healthcare': 'pharmacy'}"
609,{}
612,"{'addr:housenumber': '1601', 'phone': '+1-604-428-2648', 'addr:street': 'Burnwood Drive', 'addr:postcode': 'V5A 4H1', 'healthcare': 'pharmacy', 'addr:city': 'Burnaby'}"
617,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
